Method,Statics,GCC-O2,GCC-O3,GCC-Of,ICC-O2,ICC-O3,ICC-Of,LLVM-O2,LLVM-O3,LLVM-Of
GetTimeofDay,Max,53000,50000,6000,58000,53000,5000,21000,6000,10000
GetTimeofDay,Min,0,0,0,0,0,0,0,0,0
GetTimeofDay,Median,0,0,0,0,0,0,0,0,0
GetTimeofDay,Variance,23729,23261,24982,24886,24255,25898,25418,25174,25268
OmpGetWtime,Max,12381,4906,4110,4053,4053,5960,5006,4053,10967
OmpGetWtime,Min,35,35,35,0,0,0,0,0,0
OmpGetWtime,Median,37,37,37,0,0,0,0,0,0
OmpGetWtime,Variance,277,175,157,34275,34485,34383,34349,34250,34326
RDTSCP,Max,10614,4730,11592,11777,4507,11142,5891,15236,10210
RDTSCP,Min,115,130,128,116,115,130,116,116,130
RDTSCP,Median,130,145,131,130,145,145,131,145,145
RDTSCP,Variance,576,422,470,651,392,511,330,915,477
StdChrono,Max,12091,110803,6470,7221,12395,11774,4834,5372,89328
StdChrono,Min,129,128,127,129,128,128,127,127,128
StdChrono,Median,134,134,134,135,135,134,134,134,134
StdChrono,Variance,544,18446744073609,451,507,615,680,418,457,4244
PMU,Max,236340852,20380952,5784461,31749373,57573934,33523809,36651629,57523809,44992481
PMU,Min,521303,521303,521303,521303,521303,521303,521303,521303,521303
PMU,Median,541353,541353,541353,541353,531328,541353,541353,541353,541353
PMU,Variance,18446660597429,181517181,18446085066990,18446547048404,1016680827,18446414479283,1537673598,1043024600,1783403959
